"Sample","Sex","ID","MortYear","GMU","Location","Region"
"CluIDFG21G_0001","M","C113914",2018,"1","1","panhandle"
"CluIDFG21G_0002","M","C113915",2018,"1","1","panhandle"
"CluIDFG21G_0003","M","C113916",2018,"1","1","panhandle"
"CluIDFG21G_0004","M","C113917",2018,"1","1","panhandle"
"CluIDFG21G_0005","M","C113918",2018,"1","1","panhandle"
"CluIDFG21G_0006","F","C113919",2018,"1","1","panhandle"
"CluIDFG21G_0007","F","C113920",2018,"1","1","panhandle"
"CluIDFG21G_0008","M","C113940",2017,"1","1","panhandle"
"CluIDFG21G_0009","F","C113942",2017,"1","1","panhandle"
"CluIDFG21G_0010","M","C113943",2017,"1","1","panhandle"
"CluIDFG21G_0011","F","C113944",2017,"1","1","panhandle"
"CluIDFG21G_0012","F","C113945",2017,"1","1","panhandle"
"CluIDFG21G_0013","F","C113946",2017,"1","1","panhandle"
"CluIDFG21G_0014","F","C113947",2017,"1","1","panhandle"
"CluIDFG21G_0015","F","C113949",2017,"1","1","panhandle"
"CluIDFG21G_0016","M","C113950",2018,"1","1","panhandle"
"CluIDFG21G_0017","F","C115042",2017,"4","4","panhandle"
"CluIDFG21G_0018","M","C115044",2017,"4","4","panhandle"
"CluIDFG21G_0019","M","C115045",2017,"4","4","panhandle"
"CluIDFG21G_0020","F","C115048",2017,"6","6","panhandle"
"CluIDFG21G_0021","F","C116276",2017,"1","1","panhandle"
"CluIDFG21G_0022","M","C116278",2017,"4","4","panhandle"
"CluIDFG21G_0023","F","C116280",2017,"4","4","panhandle"
"CluIDFG21G_0024","F","C116281",2017,"4","4","panhandle"
"CluIDFG21G_0025","F","C116282",2017,"4","4","panhandle"
"CluIDFG21G_0026","M","C116284",2017,"4","4","panhandle"
"CluIDFG21G_0027","F","C116285",2017,"4","4","panhandle"
"CluIDFG21G_0028","F","C116286",2017,"4","4","panhandle"
"CluIDFG21G_0029","F","C116287",2017,"4","4","panhandle"
"CluIDFG21G_0030","M","C116288",2017,"4","4","panhandle"
"CluIDFG21G_0031","F","C116289",2018,"1","1","panhandle"
"CluIDFG21G_0032","M","C116357",2018,"1","1","panhandle"
"CluIDFG21G_0033","M","C117537",2017,"18","18","clearwater"
"CluIDFG21G_0034","M","C117538",2017,"23","23","southwest"
"CluIDFG21G_0035","F","C117539",2017,"15","15","clearwater"
"CluIDFG21G_0036","M","C117540",2017,"15","15","clearwater"
"CluIDFG21G_0037","M","C117541",2018,"18","18","clearwater"
"CluIDFG21G_0038","F","C117559",2017,"10A","10A",NA
"CluIDFG21G_0039","M","C117562",2017,"10A","10A",NA
"CluIDFG21G_0040","M","C117565",2017,"8A","8A",NA
"CluIDFG21G_0041","F","C117566",2017,"8A","8A",NA
"CluIDFG21G_0042","M","C117567",2018,"10A","10A",NA
"CluIDFG21G_0043","M","C117687",2017,"50","50","upper_snake"
"CluIDFG21G_0044","F","C117804",2017,"44","44","magic_valley"
"CluIDFG21G_0045","F","C117805",2018,"44","44","magic_valley"
"CluIDFG21G_0046","M","C117806",2018,"44","44","magic_valley"
"CluIDFG21G_0047","F","C117807",2018,"44","44","magic_valley"
"CluIDFG21G_0048","M","C117809",2018,"44","44","magic_valley"
"CluIDFG21G_0049","M","C117810",2018,"45","45","magic_valley"
"CluIDFG21G_0050","F","C117827",2017,"32A","32A",NA
"CluIDFG21G_0051","F","C117833",2017,"33","33","southwest"
"CluIDFG21G_0052","M","C117835",2017,"33","33","southwest"
"CluIDFG21G_0053","F","C117844",2018,"39","39","southwest"
"CluIDFG21G_0054","F","C117846",2018,"29","29","salmon"
"CluIDFG21G_0055","F","C117847",2018,"24","24","southwest"
"CluIDFG21G_0056","F","C117872",2017,"37","37","salmon"
"CluIDFG21G_0057","M","C117874",2017,"37","37","salmon"
"CluIDFG21G_0058","M","C118380",2018,"48","48","magic_valley"
"CluIDFG21G_0059","F","C118381",2018,"48","48","magic_valley"
"CluIDFG21G_0060","M","C118431",2017,"43","43","magic_valley"
"CluIDFG21G_0061","F","C119210",2017,"14","14","clearwater"
"CluIDFG21G_0062","F","C119354",2017,"36B","36B",NA
"CluIDFG21G_0063","M","C119355",2017,"36B","36B",NA
"CluIDFG21G_0064","F","C119358",2017,"27","27","salmon"
"CluIDFG21G_0065","F","C119788",2017,"14","14","clearwater"
"CluIDFG21G_0066","F","C119917",2018,"35","35","southwest"
"CluIDFG21G_0067","M","C120481",2017,"65","65","upper_snake"
"CluIDFG21G_0068","M","C120483",2018,"62","62","upper_snake"
"CluIDFG21G_0069","F","C120484",2018,"62","62","upper_snake"
"CluIDFG21G_0070","M","C120485",2018,"62","62","upper_snake"
"CluIDFG21G_0071","M","C120520",2017,"62","62","upper_snake"
"CluIDFG21G_0073","M","C122354",2018,"36B","36B",NA
"CluIDFG21G_0074","M","C122503",2018,"49","49","magic_valley"
"CluIDFG21G_0075","F","C122654",2017,"44","44","magic_valley"
"CluIDFG21G_0076","M","C122673",2017,"50","50","upper_snake"
"CluIDFG21G_0077","F","C123137",2017,"27","27","salmon"
"CluIDFG21G_0078","M","C123140",2018,"36A","36A",NA
"CluIDFG21G_0079","F","C123142",2018,"36B","36B",NA
"CluIDFG21G_0080","M","C123143",2018,"27","27","salmon"
"CluIDFG21G_0081","M","C123494",2017,"14","14","clearwater"
"CluIDFG21G_0082","M","C123495",2017,"14","14","clearwater"
"CluIDFG21G_0083","F","C123496",2017,"15","15","clearwater"
"CluIDFG21G_0084","M","C123497",2017,"14","14","clearwater"
"CluIDFG21G_0085","M","C123500",2018,"14","14","clearwater"
"CluIDFG21G_0086","F","C123787",2017,"10","10","clearwater"
"CluIDFG21G_0087","M","C124030",2018,"10A","10A",NA
